user,clip,filename,hmd,pitch,roll,sec,yaw,log_type,label,video_length_s
10,6,6.mp4,vive,0.06981317007977318,-0.017453292519943295,0.243,0.0,json,10,30.033333
10,6,6.mp4,vive,0.06981317007977318,-0.017453292519943295,0.342,0.0,json,10,30.033333
10,6,6.mp4,vive,0.06981317007977318,-0.017453292519943295,0.442,0.0,json,10,30.033333
10,6,6.mp4,vive,0.05235987755982989,0.0,0.543,0.0,json,10,30.033333
10,6,6.mp4,vive,0.03490658503988659,0.0,0.657,0.0,json,10,30.033333
10,6,6.mp4,vive,0.0,0.0,0.767,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.017453292519943295,0.0,0.868,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.05235987755982989,0.0,0.969,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.0,1.069,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.12217304763960307,0.0,1.169,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.15707963267948966,0.0,1.27,0.0,json,10,30.033333
10,6,6.mp4,vive,-0.17453292519943295,0.0,1.37,-0.017453292519943098,json,10,30.033333
10,6,6.mp4,vive,-0.20943951023931956,0.0,1.471,-0.017453292519943098,json,10,30.033333
10,6,6.mp4,vive,-0.2617993877991494,0.0,1.571,-0.03490658503988664,json,10,30.033333
10,6,6.mp4,vive,-0.3141592653589793,0.0,1.672,-0.05235987755982974,json,10,30.033333
10,6,6.mp4,vive,-0.3665191429188092,0.017453292519943295,1.773,-0.08726646259971638,json,10,30.033333
10,6,6.mp4,vive,-0.4014257279586958,0.0,1.873,-0.12217304763960302,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.0,1.973,-0.15707963267948966,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.0,2.074,-0.2094395102393194,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,-0.017453292519943295,2.178,-0.27925268031909267,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,-0.017453292519943295,2.278,-0.3316125578789224,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.0,2.379,-0.4014257279586957,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.0,2.48,-0.45378560551852587,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.0,2.58,-0.5235987755982987,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.0,2.681,-0.5759586531581289,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.0,2.781,-0.6283185307179586,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.017453292519943295,2.882,-0.6806784082777884,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.017453292519943295,2.982,-0.715584993317675,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.017453292519943295,3.082,-0.7330382858376185,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.03490658503988659,3.183,-0.7679448708775052,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.03490658503988659,3.284,-0.7853981633974483,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.05235987755982989,3.384,-0.8028514559173914,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.05235987755982989,3.484,-0.8028514559173914,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.03490658503988659,3.585,-0.8028514559173914,json,10,30.033333
10,6,6.mp4,vive,-0.3490658503988659,0.03490658503988659,3.686,-0.8028514559173914,json,10,30.033333
10,6,6.mp4,vive,-0.29670597283903605,0.03490658503988659,3.786,-0.7853981633974483,json,10,30.033333
10,6,6.mp4,vive,-0.24434609527920614,0.05235987755982989,3.887,-0.7679448708775052,json,10,30.033333
10,6,6.mp4,vive,-0.19198621771937624,0.05235987755982989,3.987,-0.7504915783575616,json,10,30.033333
10,6,6.mp4,vive,-0.17453292519943295,0.05235987755982989,4.088,-0.7504915783575616,json,10,30.033333
10,6,6.mp4,vive,-0.13962634015954636,0.03490658503988659,4.188,-0.7504915783575616,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.03490658503988659,4.289,-0.7504915783575616,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.03490658503988659,4.389,-0.715584993317675,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.03490658503988659,4.49,-0.6806784082777884,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.03490658503988659,4.59,-0.6457718232379017,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.05235987755982989,4.691,-0.6108652381980155,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.05235987755982989,4.791,-0.5585053606381853,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.05235987755982989,4.892,-0.5061454830783556,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.06981317007977318,4.993,-0.45378560551852587,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.06981317007977318,5.094,-0.3839724354387526,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.06981317007977318,5.194,-0.3141592653589793,json,10,30.033333
10,6,6.mp4,vive,-0.10471975511965978,0.06981317007977318,5.294,-0.24434609527920603,json,10,30.033333
10,6,6.mp4,vive,-0.12217304763960307,0.06981317007977318,5.395,-0.17453292519943275,json,10,30.033333
10,6,6.mp4,vive,-0.12217304763960307,0.06981317007977318,5.496,-0.10471975511965992,json,10,30.033333
10,6,6.mp4,vive,-0.13962634015954636,0.06981317007977318,5.596,-0.03490658503988664,json,10,30.033333
10,6,6.mp4,vive,-0.17453292519943295,0.06981317007977318,5.697,0.06981317007977328,json,10,30.033333
10,6,6.mp4,vive,-0.24434609527920614,0.06981317007977318,5.797,0.15707963267948966,json,10,30.033333
10,6,6.mp4,vive,-0.2792526803190927,0.06981317007977318,5.898,0.2617993877991496,json,10,30.033333
10,6,6.mp4,vive,-0.3141592653589793,0.06981317007977318,5.999,0.34906585039886595,json,10,30.033333
10,6,6.mp4,vive,-0.3490658503988659,0.06981317007977318,6.1,0.4014257279586957,json,10,30.033333
10,6,6.mp4,vive,-0.4014257279586958,0.05235987755982989,6.201,0.47123889803846897,json,10,30.033333
10,6,6.mp4,vive,-0.4363323129985824,0.06981317007977318,6.301,0.5235987755982987,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.06981317007977318,6.401,0.5759586531581289,json,10,30.033333
10,6,6.mp4,vive,-0.5410520681182421,0.08726646259971647,6.502,0.6283185307179586,json,10,30.033333
10,6,6.mp4,vive,-0.5759586531581288,0.08726646259971647,6.602,0.6806784082777884,json,10,30.033333
10,6,6.mp4,vive,-0.6283185307179586,0.10471975511965978,6.703,0.7330382858376185,json,10,30.033333
10,6,6.mp4,vive,-0.6457718232379019,0.10471975511965978,6.803,0.7853981633974483,json,10,30.033333
10,6,6.mp4,vive,-0.6632251157578453,0.10471975511965978,6.904,0.8203047484373349,json,10,30.033333
10,6,6.mp4,vive,-0.6806784082777885,0.12217304763960307,7.004,0.8901179185171078,json,10,30.033333
10,6,6.mp4,vive,-0.6806784082777885,0.12217304763960307,7.105,0.9250245035569948,json,10,30.033333
10,6,6.mp4,vive,-0.6632251157578453,0.12217304763960307,7.205,0.959931088596881,json,10,30.033333
10,6,6.mp4,vive,-0.6457718232379019,0.10471975511965978,7.306,0.959931088596881,json,10,30.033333
10,6,6.mp4,vive,-0.6283185307179586,0.08726646259971647,7.406,0.959931088596881,json,10,30.033333
10,6,6.mp4,vive,-0.5934119456780721,0.06981317007977318,7.507,0.959931088596881,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.06981317007977318,7.607,0.9773843811168241,json,10,30.033333
10,6,6.mp4,vive,-0.5410520681182421,0.06981317007977318,7.708,0.9948376736367681,json,10,30.033333
10,6,6.mp4,vive,-0.5235987755982988,0.06981317007977318,7.808,1.0122909661567112,json,10,30.033333
10,6,6.mp4,vive,-0.5061454830783556,0.06981317007977318,7.909,1.0297442586766543,json,10,30.033333
10,6,6.mp4,vive,-0.5061454830783556,0.05235987755982989,8.009,1.0297442586766543,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.05235987755982989,8.11,1.0471975511965974,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.05235987755982989,8.21,1.0646508437165405,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.05235987755982989,8.311,1.0646508437165405,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.03490658503988659,8.411,1.0646508437165405,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.03490658503988659,8.512,1.0821041362364845,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.03490658503988659,8.612,1.0995574287564276,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.03490658503988659,8.713,1.1344640137963147,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.03490658503988659,8.814,1.1693705988362009,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.017453292519943295,8.914,1.204277183876087,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.017453292519943295,9.014,1.221730476396031,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.017453292519943295,9.115,1.2566370614359172,json,10,30.033333
10,6,6.mp4,vive,-0.4363323129985824,0.0,9.215,1.2740903539558603,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.017453292519943295,9.316,1.2915436464758034,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.017453292519943295,9.417,1.3089969389957474,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.017453292519943295,9.517,1.3264502315156905,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.017453292519943295,9.617,1.3613568165555767,json,10,30.033333
10,6,6.mp4,vive,-0.5061454830783556,0.017453292519943295,9.718,1.3788101090755198,json,10,30.033333
10,6,6.mp4,vive,-0.5061454830783556,0.03490658503988659,9.818,1.413716694115407,json,10,30.033333
10,6,6.mp4,vive,-0.5235987755982988,0.03490658503988659,9.919,1.448623279155294,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.05235987755982989,10.02,1.4835298641951802,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.05235987755982989,10.12,1.5184364492350664,json,10,30.033333
10,6,6.mp4,vive,-0.5759586531581288,0.05235987755982989,10.22,1.5358897417550104,json,10,30.033333
10,6,6.mp4,vive,-0.5759586531581288,0.05235987755982989,10.321,1.5533430342749535,json,10,30.033333
10,6,6.mp4,vive,-0.5934119456780721,0.05235987755982989,10.421,1.5882496193148397,json,10,30.033333
10,6,6.mp4,vive,-0.5934119456780721,0.06981317007977318,10.522,1.6231562043547267,json,10,30.033333
10,6,6.mp4,vive,-0.5759586531581288,0.08726646259971647,10.622,1.675516081914557,json,10,30.033333
10,6,6.mp4,vive,-0.5759586531581288,0.08726646259971647,10.723,1.7278759594743862,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.10471975511965978,10.823,1.7802358370342164,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.10471975511965978,10.924,1.8325957145940457,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.12217304763960307,11.025,1.8849555921538759,json,10,30.033333
10,6,6.mp4,vive,-0.5585053606381855,0.12217304763960307,11.125,1.919862177193762,json,10,30.033333
10,6,6.mp4,vive,-0.5410520681182421,0.12217304763960307,11.226,1.9547687622336491,json,10,30.033333
10,6,6.mp4,vive,-0.5235987755982988,0.12217304763960307,11.327,1.9896753472735362,json,10,30.033333
10,6,6.mp4,vive,-0.5235987755982988,0.12217304763960307,11.427,2.0245819323134224,json,10,30.033333
10,6,6.mp4,vive,-0.5235987755982988,0.12217304763960307,11.528,2.0769418098732526,json,10,30.033333
10,6,6.mp4,vive,-0.5061454830783556,0.13962634015954636,11.628,2.111848394913139,json,10,30.033333
10,6,6.mp4,vive,-0.4886921905584123,0.13962634015954636,11.729,2.164208272472969,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.13962634015954636,11.829,2.199114857512855,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.13962634015954636,11.93,2.2514747350726854,json,10,30.033333
10,6,6.mp4,vive,-0.47123889803846897,0.13962634015954636,12.031,2.2863813201125716,json,10,30.033333
10,6,6.mp4,vive,-0.4537856055185257,0.13962634015954636,12.131,2.3212879051524578,json,10,30.033333
10,6,6.mp4,vive,-0.4363323129985824,0.12217304763960307,12.232,2.356194490192345,json,10,30.033333
10,6,6.mp4,vive,-0.4363323129985824,0.12217304763960307,12.332,2.391101075232232,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.12217304763960307,12.433,2.426007660272118,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.12217304763960307,12.533,2.4609142453120043,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.12217304763960307,12.633,2.5132741228718345,json,10,30.033333
10,6,6.mp4,vive,-0.4188790204786391,0.12217304763960307,12.734,2.5656340004316647,json,10,30.033333
10,6,6.mp4,vive,-0.4014257279586958,0.12217304763960307,12.835,2.600540585471551,json,10,30.033333
10,6,6.mp4,vive,-0.4014257279586958,0.12217304763960307,12.935,2.635447170511437,json,10,30.033333
10,6,6.mp4,vive,-0.3665191429188092,0.12217304763960307,13.036,2.6878070480712672,json,10,30.033333
10,6,6.mp4,vive,-0.3490658503988659,0.12217304763960307,13.136,2.7052603405912112,json,10,30.033333
10,6,6.mp4,vive,-0.33161255787892263,0.13962634015954636,13.237,2.7576202181510405,json,10,30.033333
10,6,6.mp4,vive,-0.29670597283903605,0.13962634015954636,13.337,2.8099800957108707,json,10,30.033333
10,6,6.mp4,vive,-0.2792526803190927,0.13962634015954636,13.438,2.8623399732707,json,10,30.033333
10,6,6.mp4,vive,-0.24434609527920614,0.15707963267948966,13.538,2.932153143350474,json,10,30.033333
10,6,6.mp4,vive,-0.20943951023931956,0.15707963267948966,13.639,2.9845130209103035,json,10,30.033333
10,6,6.mp4,vive,-0.19198621771937624,0.17453292519943295,13.739,3.0543261909900767,json,10,30.033333
10,6,6.mp4,vive,-0.15707963267948966,0.17453292519943295,13.84,3.106686068549907,json,10,30.033333
10,6,6.mp4,vive,-0.12217304763960307,0.17453292519943295,13.94,-3.12413936106985,json,10,30.033333
10,6,6.mp4,vive,-0.08726646259971647,0.15707963267948966,14.041,-3.0892327760299634,json,10,30.033333
10,6,6.mp4,vive,-0.05235987755982989,0.13962634015954636,14.142,-3.0543261909900767,json,10,30.033333
10,6,6.mp4,vive,-0.017453292519943295,0.13962634015954636,14.242,-3.01941960595019,json,10,30.033333
10,6,6.mp4,vive,0.017453292519943295,0.13962634015954636,14.343,-2.9845130209103035,json,10,30.033333
10,6,6.mp4,vive,0.05235987755982989,0.13962634015954636,14.443,-2.9670597283903604,json,10,30.033333
10,6,6.mp4,vive,0.08726646259971647,0.13962634015954636,14.543,-2.949606435870417,json,10,30.033333
10,6,6.mp4,vive,0.12217304763960307,0.13962634015954636,14.644,-2.91469985083053,json,10,30.033333
10,6,6.mp4,vive,0.15707963267948966,0.15707963267948966,14.744,-2.897246558310587,json,10,30.033333
10,6,6.mp4,vive,0.17453292519943295,0.15707963267948966,14.845,-2.8797932657906435,json,10,30.033333
10,6,6.mp4,vive,0.20943951023931956,0.13962634015954636,14.945,-2.8623399732707004,json,10,30.033333
10,6,6.mp4,vive,0.22689280275926285,0.13962634015954636,15.046,-2.827433388230814,json,10,30.033333
10,6,6.mp4,vive,0.24434609527920614,0.12217304763960307,15.147,-2.8099800957108707,json,10,30.033333
